CLUE,TITLE,FEN,SOLUTION
White to move.,"Ali Frhat vs Zozik Mohommed, Turin, 2006",r3r3/2qb1pkp/p2p2pN/1p1pn3/7Q/P3B3/1PP1B1PP/R6K w - - 1 0,1. Nf5+ gxf5 2. Bh6+ Kg8 3. Qf6 Qxc2 4. Qg7# 
White to move.,"Jon Hammer vs Eirik Gullaksen, Tromsoe, 2006 ",1k6/5Q2/2Rr2pp/pqP5/1p6/7P/2P3PK/4r3 w - - 1 0,1. Qc7+ Ka8 2. Qc8+ Qb8 3. Qa6+ Qa7 4. Rc8# 
White to move.,"Ernesto Inarkiev vs Evgeny Postny, Ermioni, 2006",5r1k/4R3/6pP/r1pQPp2/5P2/2p1PN2/2q5/5K1R w - - 1 0,1. Rh7+ Kxh7 2. Qd7+ Rf7 3. Qxf7+ Kh8 4. Qg7#
White to move.,"Shakhriyar Mamedyarov vs Stefan Martin, Mainz, 2006 ",3n3k/1p3B2/p2p1P2/2rP1br1/5p2/2P5/PP6/2KR2R1 w - - 1 0,1. Rh1+ Bh7 2. Rxh7+ Kxh7 3. Rh1+ Rh5 4. Rxh5# 
White to move.,"Ian Nepomniachtchi vs Aleksandr Volodin, Kirishi, 2006",2r1rk2/6b1/1q2ppP1/pp1PpQB1/8/PPP2BP1/6K1/7R w - - 1 0,1. Qxf6+ Bxf6 2. Bxf6 Qf2+ 3. Kxf2 exd5 4. Rh8#  
White to move.,"Jessica Nill vs Catherine Perena, Turin, 2006 ",8/8/8/k1KB4/5r2/4R3/8/8 w - - 1 0,1. Be4 Rf5+ 2. Bxf5 Ka6 3. Re7 Ka5 4. Ra7# 
White to move.,"Nigel Short vs Natalia Zhukova, Gibraltar, 2006 ",r1b2rk1/5pb1/p1n1p3/4B3/4N2R/8/1PP1p1PP/5RK1 w - - 1 0,1. Nf6+ Bxf6 2. Bxf6 exf1=Q+ 3. Kxf1 Re8 4. Rh8# 
White to move.,"Zhao Xue vs Jovanka Houska, Turin, 2006",3r1nQ1/1b4p1/1p3k1p/p1q5/P2N4/5P2/6PP/1B2R2K w - - 1 0,1. Re6+ Nxe6 2. Qxe6+ Kg5 3. h4+ Kf4 4. Ne2# 
Black to move.,"David Adams vs Mark Lyell, Great Yarmouth, 2007 ",6k1/ppp1q1pp/4p3/P7/1P2P1n1/2P1b2P/5rP1/RN2QB1K b - - 0 1,1... Qh4 2. Ra2 Qg3 3. hxg4 Rxf1+ 4. Qxf1 Qh4# 
Black to move.,"Aleksandr Andreev vs Ruslan Dusenov, Astrakhan, 2007 ",4r1k1/3N1ppp/3r4/8/1n3p1P/5P2/PP3K1P/RN5R b - - 0 1,1... Nd3+ 2. Kf1 Re1+ 3. Kg2 Rg6+ 4. Kh3 Nf2#
White to move.,"Steven Barrett vs David Howell, Great Yarmouth, 2007",8/1bn5/ppk4q/1p1pQ2B/5P2/P3R2P/1Pr5/3R3K w - - 1 0,1. Be8+ Nxe8 2. Qxd5+ Kc7 3. Re7+ Kb8 4. Qxb7# 
White to move.,"Jon Hammer vs Joran Aulin-Jansson, Hamar, 2007 ",1r3k2/5p1p/1qbRp3/2r1Pp2/ppB4Q/1P6/P1P4P/1K1R4 w - - 1 0,1. Qh6+ Ke7 2. Rxe6+ fxe6 3. Qxe6+ Kf8 4. Qf7#
Black to move.,"Huang Qian vs Li Chao, Manila, 2007 ",5r1k/3q3p/p2B1npb/P2np3/4N3/2N2b2/5PPP/R3QRK1 b - - 0 1,1... Qh3 2. gxh3 Nf4 3. Ng5 Bxg5 4. Bxf8 Nxh3#  
Black to move.,"Arusyak Karhanyan vs Ju Wenjun, Moscow, 2007 ",6k1/8/3PN1p1/3Pp3/6r1/5p2/3q3P/5Q1K b - - 0 1,1... Qe2 2. Qxe2 fxe2 3. h3 e1=Q+ 4. Kh2 Qg1# 
Black to move.,"Dietmar Kolbus vs Peter Heine Nielsen, Germany, 2007 ",2r3k1/pb3ppp/8/qP2b3/8/1P6/1P1RQPPP/1K3B1R b - - 0 1,1... Rc1+ 2. Kxc1 Qa1+ 3. Kc2 Qxb2+ 4. Kd3 Qc3#
White to move.,"Maxim Korman vs Almira Skripchenko, Germany, 2007 ",r1b2RB1/pp4p1/q5kp/5p2/3Q1P2/6P1/1PPK3P/8 w - - 1 0,1. Bf7+ Kh7 2. Rh8+ Kxh8 3. Qd8+ Kh7 4. Qg8#
White to move.,"Roy Robson vs Eugene Perelshteyn, Peabody, 2007",r3k3/3b3R/1n1p1b1Q/1p1PpP1N/1P2P1P1/6K1/2B1q3/8 w - - 1 0,1. Rh8+ Bxh8 2. Qxh8+ Kf7 3. Qf6+ Ke8 4. Ng7# 
White to move.,"Roy Robson vs S Shankland, Peabody, 2007 ",5k1r/6p1/1Qq2p1p/2r1p3/2B3P1/1P6/1PP5/2K2R2 w - - 1 0,1. Qd8+ Qe8 2. Rxf6+ gxf6 3. Qxf6+ Qf7 4. Qxf7# 
White to move.,"Maxim Sorokin vs Marina Guseva, Moscow, 2007",r1b2r2/4nn1k/1q2PQ1p/5p2/pp5R/5N2/5PPP/5RK1 w - - 1 0,1. Ng5+ Kg8 2. exf7+ Rxf7 3. Qxf7+ Kh8 4. Qh7# 
Black to move.,"Zorigt Bayaraa vs Vinay Bhat, Tulsa, 2008 ",7r/1p3bk1/1Pp2p2/3p2p1/3P1nq1/1QPNR1P1/5P2/5BK1 b - - 0 1,1... Qh5 2. Bg2 Qh2+ 3. Kf1 Qh1+ 4. Bxh1 Rxh1# 
White to move.,"Thomas Casper vs Ilja Brener, Germany, 2008",6r1/pp3p1k/4bQ1p/2p2P1N/2P5/1P5P/1P3P1q/3R1K2 w - - 1 0,1. Qg7+ Rxg7 2. Nf6+ Kh8 3. Rd8+ Rg8 4. Rxg8#
White to move.,"Krzysztof Checiak vs Michal Wengierow, Poland, 2008",r1bq1rk1/pp1nb1pp/5p2/6B1/3pQ3/3BPN2/PP3PPP/R4RK1 w - - 1 0,1. Qxh7+ Kf7 2. Bc4+ Ke8 3. Qg6+ Rf7 4. Qxf7# 
White to move.,"Valentina Golubenko vs Hamid, Dresden, 2008",3k4/1R6/1P2PNp1/7p/2n4P/8/4rPP1/6K1 w - - 1 0,1. e7+ Kc8 2. Rc7+ Kb8 3. Nd7+ Ka8 4. Ra7# 
White to move.,"Li Chao vs Amir Bagheri, Beijing, 2008 ",2r3k1/pp2Bp1p/6p1/1P2P3/P7/1q2bP1P/3Q2P1/3R3K w - - 1 0,1. Qd8+ Rxd8 2. Rxd8+ Kg7 3. Bf8+ Kg8 4. Bh6# 
White to move.,"Roy Phillips vs Kurt Meier, Dresden, 2008",1R1br1k1/pR5p/2p3pB/2p2P2/P1qp2Q1/2n4P/P5P1/6K1 w - - 1 0,1. Rg7+ Kh8 2. Rxh7+ Kxh7 3. Qxg6+ Kh8 4. Qg7# 
White to move.,"Sanan Sjugirov vs Alexsej Lanin, St. Petersburg, 2008",4kb1r/1R6/p2rp3/2Q1p1q1/4p3/3B4/P6P/4KR2 w - - 1 0,1. Bb5+ axb5 2. Qxb5+ Kd8 3. Rb8+ Kc7 4. Qb7# 
Black to move.,"Darwin Yang vs Michael Mulyar, Tulsa, 2008 ",6k1/2R5/4p1pp/8/5PPK/P3Q2P/1q4r1/8 b - - 0 1,1... Qf6+ 2. g5 hxg5+ 3. fxg5 Qh8+ 4. Rh7 Qxh7# 
White to move.,"Rustem Dautov vs Michiel Bosman, Germany, 2009",3qr1k1/1pp3rn/p2p1Qp1/3P1pP1/2P2P2/2P2BK1/P6R/7R w - - 1 0,1. Qxg7+ Kxg7 2. Rxh7+ Kf8 3. Rh8+ Ke7 4. R1h7#
White to move.,"Joanna Dworakowska vs Manuela Mader, Germany, 2009",4rnrk/ppqn2p1/4p1Pp/2p5/2PP1P2/3N3R/PP1N2Q1/1K4R1 w - - 1 0,1. Rxh6+ gxh6 2. g7+ Kh7 3. Qe4+ Ng6 4. Qxg6#
White to move.,"Anish Giri vs Romain Picard, Bussum, 2009",5rk1/pp2Rppp/nqp5/8/5Q2/6PB/PPP2P1P/6K1 w - - 1 0,1. Qxf7+ Rxf7 2. Re8+ Rf8 3. Be6+ Kh8 4. Rxf8# 
White to move.,"Jon Hammer vs Magnus Carlhammar, Gibraltar, 2009",3rk3/1q4pp/3B1p2/3R4/1pQ5/1Pb5/P4PPP/6K1 w - - 1 0,1. Re5+ Kd7 2. Qe6+ Kc6 3. Bb8+ Rd6 4. Qxd6# 
White to move.,"Dmitry Jakovenko vs Sergey Karjakin, Moscow, 2009 ",8/3n2pp/2qBkp2/ppPpp1P1/1P2P3/1Q6/P4PP1/6K1 w - - 1 0,1. Qh3+ Kf7 2. Qh5+ Kg8 3. Qe8+ Nf8 4. Qxf8#
White to move.,"Ekaterina Kovalevskaya vs Maria Schoene, Germany, 2009 ",r1b2r1k/p1n3b1/7p/5q2/2BpN1p1/P5P1/1P1Q1NP1/2K1R2R w - - 1 0,1. Rxh6+ Bxh6 2. Qxh6+ Qh7 3. Qxf8+ Qg8 4. Qxg8#
White to move.,"Arkadij Naiditsch vs Sergey Fedorchuk, Sibenik, 2009",r3rb2/2qnk2p/p1bp2pB/n3p1N1/P3P3/2P3N1/Q4PPP/1R2R1K1 w - - 1 0,1. Qe6+ Kd8 2. Nf7+ Kc8 3. Qxe8+ Qd8 4. Qxd8# 
White to move.,"Natalia Pogonina vs Nana Dzagnidze, St. Petersburg, 2009",2q5/p3p2k/3pP1p1/2rN2Pn/1p1Q4/7R/PPr5/1K5R w - - 1 0,1. Rxh5+ gxh5 2. Rxh5+ Kg6 3. Rh6+ Kxg5 4. Qf4# 
White to move.,"Kanwal Bhatia vs Hisako Wakabayashi, Khanty Mansyisk, 2010 ",2q3k1/1b1Q2bp/p1n2pp1/1p6/4B3/5N2/1PP2PPP/4R1K1 w - - 1 0,1. Bd5+ Kh8 2. Re8+ Bf8 3. Qf7 Qxe8 4. Qg8# 
Black to move.,"Daniel Fridman vs Alex Lenderman, Caleta, 2010",1Q6/1R3pk1/4p2p/p3n3/P3P2P/6PK/r5B1/3q4 b - - 0 1,1... Qg4+ 2. Kh2 Nf3+ 3. Kh1 Qh3+ 4. Bxh3 Rh2# 
White to move.,"Judith Fuchs vs Camille De Seroux, Khanty Mansyisk, 2010",r4r2/2qnbpkp/b3p3/2ppP1N1/p2P1Q2/P1P5/5PPP/nBBR2K1 w - - 1 0,1. Nxe6+ fxe6 2. Qh6+ Kf7 3. Qh5+ Kg8 4. Qxh7# 
White to move.,"Boris Gelfand vs Rauf Mamedov, Moscow, 2010",5Q2/1p3p1N/2p3p1/5b1k/2P3n1/P4RP1/3q2rP/5R1K w - - 1 0,1. Rxf5+ g5 2. Qxf7+ Kh6 3. Rf6+ Nxf6 4. Rxf6# 
White to move.,"Melissa Greef vs Alba Munoz, Khanty Mansyisk, 2010",rn3rk1/pp3p2/2b1pnp1/4N3/3q4/P1NB3R/1P1Q1PPP/R5K1 w - - 1 0,1. Qh6 Nh5 2. Rxh5 Qxf2+ 3. Kxf2 gxh5 4. Qh7# 
White to move.,"Mikhail Kobalia vs Loek Van Wely, Tromsoe, 2010 ",r4rk1/1q2bp1p/5Rp1/pp1Pp3/4B2Q/P2R4/1PP3PP/7K w - - 1 0,1. Rh3 h5 2. Qxh5 gxh5 3. Rg3+ Kh8 4. Rh6# 
White to move.,"Julia Kochetkova vs Biljana Dekic, Khanty Mansyisk, 2010",r1br1b2/4pPk1/1p1q3p/p2PR3/P1P2N2/1P1Q2P1/5PBK/4R3 w - - 1 0,1. Re6 Qxe6 2. Rxe6 Bxe6 3. Qg6+ Kh8 4. Qg8# 
White to move.,"Kateryna Lahno vs Gundula Heinatz, Khanty Mansyisk, 2010 ",6r1/1p1qp1rk/p2pR1p1/3P2Qp/7P/5P2/PPP5/1K4R1 w - - 1 0,1. Rxg6 Rxg6 2. Qxh5+ Kg7 3. Qxg6+ Kf8 4. Qxg8# 
White to move.,"Rauf Mamedov vs Johan Alvarez, Khanty Mansyisk, 2010 ",5rk1/pp1qpR2/6Pp/3ppNbQ/2nP4/B1P5/P5PP/6K1 w - - 1 0,1. Rg7+ Kh8 2. Qxh6+ Bxh6 3. Rh7+ Kg8 4. Nxh6# 
White to move.,"Maxim Matlakov vs Andrey Baryshpolets, Chotowa, 2010 ",4k3/1p2rn2/pP1p1Q2/3Pp3/4Pp2/5q2/1PR5/1KN3B1 w - - 1 0,1. Rc8+ Nd8 2. Qg6+ Kf8 3. Rxd8+ Re8 4. Rxe8# 
White to move.,"Shane Matthews vs Pradeep Seegolam, Khanty Mansyisk, 2010",r1br4/1p2bpk1/p1nppn1p/5P2/4P2B/qNNB3R/P1PQ2PP/7K w - - 1 0,1. Qxh6+ Kg8 2. Rg3+ Ng4 3. Rxg4+ Bg5 4. Rxg5# 
White to move.,"Alina Motoc vs Rulp Ylem Jose, Khanty Mansyisk, 2010",3Q4/6kp/4q1p1/2pnN2P/1p3P2/1Pn3P1/6BK/8 w - - 1 0,1. h6+ Kxh6 2. Qf8+ Kh5 3. Bf3+ Qg4 4. Bxg4# 
White to move.,"Tereza Olsarova vs Nelly Aginian, Khanty Mansyisk, 2010",3r3r/ppk2B2/2n1Q1pp/5p2/3p4/q5P1/5P1P/1RR3K1 w - - 1 0,1. Rxb7+ Kxb7 2. Qxc6+ Kb8 3. Rb1+ Qb4 4. Rxb4# 
White to move.,"Catherine Perena vs Aisha Al-Khelaifi, Khanty Mansyisk, 2010",r6r/1q1nbkp1/pn2p2p/1p1pP1P1/3P1N1P/1P1Q1P2/P2B1K2/R6R w - - 1 0,1. Qg6+ Kg8 2. Qxe6+ Kf8 3. Ng6+ Ke8 4. Qxe7# 
White to move.,"Anna Rudolf vs Ekaterini Fakhiridou, Khanty Mansyisk, 2010 ",5r1k/r2b1p1p/p4Pp1/1p2R3/3qBQ2/P7/6PP/2R4K w - - 1 0,1. Qh6 Qd1+ 2. Rxd1 Rg8 3. Rh5 gxh5 4. Qxh7# 
White to move.,"Zong-Yuan Zhao vs Mark Machin-Rivera, Khanty Mansyisk, 2010",5Q2/1R6/p5p1/3P3k/2p1rP1p/8/4p1PP/q4BK1 w - - 1 0,1. Rh7+ Kg4 2. Rxh4+ Kxh4 3. Qh6+ Kg4 4. Qg5# 
White to move.,"Nadezhda Zykina vs Nibal Algildah, Khanty Mansyisk, 2010 ",4r1k1/5q2/p5pQ/3b1pB1/2pP4/2P3P1/1P2R1PK/8 w - - 1 0,1. Bf6 Qh7 2. Rxe8+ Kf7 3. Qxh7+ Kxe8 4. Qe7#
Black to move.,"Edyta Jakubiec vs Evgeniya Doluhanova, Germany, 2011",5rk1/1R4b1/3p4/1P1P4/4Pp2/3B1Pnb/PqRK1Q2/8 b - - 0 1,1... Bc3+ 2. Kd1 Qb1+ 3. Rc1 Qxd3+ 4. Qd2 Qxd2#
White to move.,"Susanto Megaranto vs Tommy Supriyanto, Jakarta, 2011 ",2rq1n1Q/p1r2k2/2p1p1p1/1p1pP3/3P2p1/2N4R/PPP2P2/2K4R w - - 1 0,1. Rh7+ Ke8 2. Qxf8+ Kxf8 3. Rh8+ Ke7 4. R1h7# 
White Mates in 4.,"Robin Dragomirescu vs Mircea Parligras, Sarata Monteoru, 2/15/2012",8/pp2k1r1/3Np2p/5p1P/8/2Q3P1/5P1K/1q6 w - - 1 0,1. Qc7+ Kf6 2. Ne8+ Kg5 3. Qxg7+ Kxh5 4. Nf6#
White Mates in 4.,"Ilyas Sodikov vs Evandro Amorim Barbosa, Athens, 8/15/2012",2r1rk2/1b2b1p1/p1q2nP1/1p2Q3/4P3/P1N1B3/1PP1B2R/2K4R w - - 1 0,1. Rf2 Kg8 2. Qh2 Nh5 3. Qxh5 Bh4 4. Qh7# 
Black Mates in 4.,"Sinisa Drazic vs Samuel Franklin, Livigno, 9/10/2012",4r3/5kp1/1N1p4/2pR1q1p/8/pP3PP1/6K1/3Qr3 b - - 0 1,1... R8e2+ 2. Qxe2 Rxe2+ 3. Kf1 Qxf3+ 4. Kg1 Qg2# 
White Mates in 4.,"Imre Balog vs Robert Markus, Hungary, 10/7/2012",2R3nk/3r2b1/p2pr1Q1/4pN2/1P6/P6P/q7/B4RK1 w - - 1 0,1. Rxg8+ Kxg8 2. Nh6+ Kh8 3. Rf8+ Bxf8 4. Qg8#
Black Mates in 4.,"Evgeniy Najer vs Yiping Lou, Beijing, 10/9/2012",8/6pk/1R2p2p/1P1pPp2/3P1P1K/1r5P/5QP1/2q5 b - - 0 1,1... g5+ 2. Kh5 Rxh3+ 3. gxh3 Qd1+ 4. Qe2 Qxe2#
White Mates in 4.,"Borislav Ivanov vs Bojan Kurajica, Zadar, 12/17/2012",6Q1/1q2N1n1/3p3k/3P3p/2P5/3bp1P1/1P4BP/6K1 w - - 1 0,1. Qh8+ Bh7 2. Be4 Qxe7 3. Qxh7+ Kg5 4. Qg6#
White Mates in 4.,"Vlad-Cristian Jianu vs Atanas Kolev, Plovdiv 2/ 4/2013",2r4k/p4rRp/1p1R3B/5p1q/2Pn4/5p2/PP4QP/1B5K w - - 1 0,1. Rg8+ Rxg8 2. Qxg8+ Kxg8 3. Rd8+ Rf8 4. Rxf8#
White Mates in 4.,"Bartosz Socko vs Mads Andersen, Reykjavik, 3/ 2/2013",1r1r4/Rp2np2/3k4/3P3p/2Q2p2/2P4q/1P1N1P1P/6RK w - - 1 0,1. Ne4+ Kd7 2. Nf6+ Kd6 3. Qxf4+ Kc5 4. Qb4#
Black Mates in 4.,"Sebastian Siebrecht vs Gawain Jones, Germany, 4/7/2013",r2B1bk1/1p5p/2p2p2/p1n5/4P1BP/P1Nb4/KPn3PN/3R3R b - - 0 1,1... Nb4+ 2. axb4 axb4+ 3. Ba5 Rxa5+ 4. Na4 Rxa4#
Black Mates in 4.,"Ivan Sokolov vs Alexandre Danin, Koege, 4/23/2013",6r1/Q4p2/4pq1k/3p2Nb/P4P1K/4P3/7P/2R5 b - - 0 1,1... Rxg5 2. Qe7 Rg4+ 3. Kh3 Qxe7 4. Rc8 Qh4#
Black Mates in 4.,"Azer Mirzoev vs Constantin Lupulescu, Legnica, 5/7/2013",5rk1/p3br1p/8/2p3p1/N2pPB2/1P1P1qPb/P2Q3P/R3R1K1 b - - 0 1,1... Rxf4 2. gxf4 Rxf4 3. Rac1 Rg4+ 4. Qg2 Qxg2#
White Mates in 4.,"Dmitry Svetushkin vs Kamil Dragun, Legnica, 5/14/2013",3Q1b2/5pk1/p3rNpp/1p2P3/4NP2/nP6/P3q1PP/3R3K w - - 1 0,1. Qxf8+ Kxf8 2. Rd8+ Re8 3. Rxe8+ Kg7 4. Rg8#
White Mates in 4.,"Yuriy Kuzubov vs Vladimir Onischuk, Voronezh, 6/20/2013",1r1q4/5k2/1p1p2p1/2p4p/pPP1B1N1/P3Q1P1/2r2P1P/6K1 w - - 1 0,1. Bd5+ Kf8 2. Qf4+ Qf6 3. Qxf6+ Ke8 4. Bc6# 
White Mates in 4.,"Ketevan Arakhamia-Grant vs Ioulia Makka, Belgrade, 7/24/2013",3R4/7R/1P2k3/3p1pr1/3B4/2P5/r5b1/5BK1 w - - 1 0,1. Re8+ Kd6 2. Rh6+ Rg6 3. Rxg6+ Kd7 4. Bb5#
Black Mates in 4.,"Zoja Schleining vs Nino Khurtsidze, Belgrade, 7/26/2013",6k1/pp1n2p1/8/5q2/b1pPp2Q/P1Pr4/4RB2/RK6 b - - 0 1,1... Qb5+ 2. Rb2 Rd1+ 3. Ka2 Bb3+ 4. Rxb3 Qxb3#
White Mates in 4.,"Dimante Daulyte vs Antoaneta Stefanova, Belgrade, 7/27/2013",4Nr1k/1bp2p1p/1r4p1/3P4/1p1q1P1Q/4R3/P5PP/4R2K w - - 1 0,1. Qh6 Kg8 2. Re5 Qxe5 3. Rxe5 Rxe8 4. Rxe8#
White Mates in 4.,"Tereza Olsarova vs Sopio Gvetadze, Belgrade, 7/27/2013",1r2r2k/1q1n1p1p/p1b1pp2/3pP3/1b5R/2N1BBQ1/1PP3PP/3R3K w - - 1 0,1. Rxh7+ Kxh7 2. Rd4 Bf8 3. Rh4+ Bh6 4. Rxh6#
White to move.,"Rauf Mamedov vs Wojciech Moranda, Budva, 2003",3R4/p1r2k2/1p3Pp1/5n1p/5N2/4q2P/1Q4PK/8 w - - 0 1,Qa2+ Kxf6 Nd5+
White to move.,"Rauf Mamedov vs Pierluigi Piscopo, Rogaska Slatina, 2011",3q2k1/3b1pb1/3Nr1pp/4n3/3p1B2/r2P2P1/3Q1PBP/2R1R1K1 w - - 1 0,Bxe5 Bxe5 Nc4
White to move.,"Rauf Mamedov vs Dmitry Svetushkin, Moscow, 2013",4r2k/2q2p1p/p4NpB/8/2p2b2/8/P1n3PP/2RR3K w - - 1 0,Bg7+ Kxg7 Nxe8+
White to move.,"Rauf Mamedov vs Hao Wang, Dubai, 2014",5rk1/p4p1p/4p1pP/4P1q1/3P4/P3nQ2/2R3P1/5R1K w - - 1 0,Qxf7+ Rxf7 Rc8+
White to move.,"Rauf Mamedov vs Kivanc Haznedaroglu, Izmir, 2016",6k1/r4pNp/3qnQp1/8/2B5/6PP/P4P2/6K1 w - - 1 0,Nxe6 fxe6 Bxe6
White to move.,"Rauf Mamedov vs Santosh Gujrathi Vidit, Hengshui, 2019",6k1/3q1rpp/p3Q1b1/1pr5/3N4/1P5P/P3RPP1/3B2K1 w - - 1 0,1.Qe8+ Qxe8 2.Rxe8+ Rf8 3.Rxf8+ Kxf8 4.Ne6+
White to move.,"Alessio Valsecchi vs Sergio Huguet, Batumi, 2018",r1q2r2/1pp3k1/3P2p1/p1p5/2P1P1b1/2P5/P4P1Q/R3K2R w KQ - 1 0,Qh7+ Kf6 Qe7#
White to move.,"Frode Urkedal vs Dante Beukes, Batumi, 2018",5b2/1p3pk1/r3qNp1/3QP1P1/p7/PB6/1P3P2/1K6 w - - 1 0,Qh1
White to move.,"Khaled Mona vs Zuzana Kovacova, Batumi, 2018",3q1rk1/5pp1/bprN3p/p2p4/P2P4/6Q1/1P3PPP/3RR1K1 w - - 1 0,Nf5 Qf6 Ne7+
White to move.,"Sabrina Latreche vs Abigaele Poudjoua Gamba, Batumi, 2018",r1b1kb1r/ppppq1pp/2n2n2/4p1N1/2B1P3/8/PPP2PPP/RNBQK2R w KQkq - 1 0,Bf7+ Kd8 Ne6+
White to move.,"Alexander Fier vs Robert Aloma Vidal, Batumi, 2018",2r2bk1/1q1n1pp1/2b1r3/1p4N1/2p1P3/1p1P2P1/PB3PK1/Q1R4R w - - 1 0,Rh8+ Kxh8 Rh1+ Kg8 Rh8+ Kxh8 Qh1+ Rh6 Qxh6+ Kg8 Qh7#
White to move.,"Hubert Ble Kouko vs Ragul Pillay, Batumi, 2018",r4rk1/5ppp/p4n2/1p1q1QB1/3b4/N7/PP3PPP/1R3RK1 w - - 1 0,Qxd5 Nxd5 Rfd1
White to move.,"Kiril Georgiev vs Roberto Sanchez Alvarez, Batumi, 2018",2kr4/1p1nqp2/p1p3p1/3p3n/3P4/2N1PN2/PP3PPQ/R3K3 w Q - 1 0,Nxd5 cxd5 Rc1+
White to move.,"Lionel Adu vs Jerome Harewood, Batumi, 2018",2r2rk1/pp1b1p2/4p1pp/4Pq2/4R3/P5P1/QP3PBP/3R2K1 w - - 1 0,g4 Qg5 Rxd7
White to move.,"Ashvin Jotee vs Salem Alothman, Batumi, 2018",2r1k3/np1nb2p/p3B1pB/4p3/N2pP3/P6P/1P3PP1/2R3K1 w - - 1 0,Bxd7+ Kxd7 Nb6+
White to move.,"Guliskhan Nakhbayeva vs Ellen Nilssen, Batumi, 2018",3r4/1p3qkp/p1p1bpp1/2P5/1P3n1P/P1Q5/1B3PP1/4RBK1 w - - 1 0,Qe3
White to move.,"David Howell vs Sabino Brunello, Batumi, 2018",8/pp2k1P1/3nbp2/2p5/5K2/2P5/PP1R4/8 w - - 1 0,Re2
White to move.,"Alex Winter-Roach vs Izdine Gafar, Batumi, 2018",r1b1r1k1/1pq1b2p/p1np1p2/2p1pPN1/P3P3/3P3P/1PP3B1/R1BQ1RK1 w - - 1 0,Qh5 fxg5 Qxe8+
White to move.,"Amen Miladi vs Sheriffa Ali, Batumi, 2018",r2q1b1k/ppp3p1/2n3QB/8/3Pn3/1B5P/PP3PP1/R5K1 w - - 1 0,Bxg7+ Bxg7 Qh5+ Bh6 Qxh6#
White to move.,"Isam Ortiz vs Miora Andriamasoandro, Batumi, 2018",1r1q2k1/pp4np/2b2n2/P2p1N2/5P2/Q1BP2P1/1P4BP/6K1 w - - 1 0,Nh6+ Kh8 Nf7+ Kg8 Nxd8
White to move.,"Andreea-Marioara Cosman vs Tuvshintogs Batchimeg, Batumi, 2018",2b3k1/p1q3pp/8/2p5/3bQr2/PR6/4P1BP/3R3K w - - 1 0,Qe8+ Rf8 Bd5+
White to move.,"Katrina Blackman vs Binta Sy Mame, Batumi, 2018",2rr1k2/1p2qpp1/p3b2p/2pp4/4n2Q/2P1P1P1/PP1R1PPN/1B1R2K1 w - - 1 0,Bxe4 dxe4 Rxd8+
White to move.,"Lik Zang Lye vs Montasar Abo Moliana, Batumi, 2018",4k3/2q2p1r/p2p1Q2/2pb4/P6N/3p2R1/1P2r1PP/5RK1 w - - 1 0,Rg8+ Kd7 Qf5+ Kc6 Qxh7
White to move.,"Valentina Golubenko vs Shamima Akter Liza, Batumi, 2018",1k1r2r1/3n4/1PpNQ1pp/2q5/3pPP2/2p5/3B2PP/R5K1 w - - 1 0,Ra8+ Kxa8 Qa2+ Kb8 Qa7#
White to move.,"Anahi Ortiz vs Monika Tsiganova, Batumi, 2018",1rr3k1/1bb3pp/1p3q2/pQ3p2/P2P4/2R3P1/5PBP/4R1K1 w - - 1 0,Bxb7 Rxb7 Qd5+ Kh8 Qxb7
White to move.,"Lidet Abate Haile vs Ahlam Makhlouf, Batumi, 2018",r3k2r/1ppq1p2/p1np3p/4p3/3bP1b1/P1NPB3/1PP1BPP1/R3QRK1 w kq - 1 0,Nd5 0-0-0 Nf6
White to move.,"Motahare Asadi vs Flor De Maria Zarate Oyague, Batumi, 2018",r3r2k/5Qb1/2q1P2p/pp6/3p1PP1/P1B5/1PP5/2K4R w - - 1 0,Rxh6+ Bxh6 Bxd4+
White to move.,"Khanim Balajayeva vs Mariam Choladze, Batumi, 2016",4rbk1/pp1n1pp1/4q2p/1P6/P2Pr3/2Q2N2/5PPP/R3R1K1 w - - 1 0,Rxe4 Qxe4 Re1
White to move.,"Khanim Balajayeva vs Defne Sade, Ankara, 2018",r3r1k1/1ppq1ppp/p2b4/3Np3/4P3/2R1Q2P/PPP2PP1/R5K1 w - - 1 0,Nf6+ gxf6 Qh6 Kh8 Rg3 Rg8 Qxf6+
Black to move.,"Catarina Leite vs Khanim Balajayeva, Vysoke Tatry, 2018",5rk1/1pp3p1/p2pprq1/4p1N1/4Pn1Q/2PPR1P1/PP3P2/5RK1 b - - 0 1,...Qxg5 Qxg5 Nh3+
White to move.,"Polina Shuvalova vs Alexandra Obolentseva, Budva, 2013",k2rr3/P5pp/8/3q4/3p1b2/5Q2/1PR2PPP/R5K1 w - - 1 0,Rc8+ Rxc8 Qxd5+
White to move.,"Polina Shuvalova vs Jane Mukhina, Sochi, 2018",8/p1p2p2/1pb3pK/2pNk2p/4Pn1P/1PP1NP2/P5P1/8 w - - 1 0,Nc4+ Ke6 Nxf4+
White to move.,"Gulruhbegim Tokhirjonova vs Eugenio Torre, Ho Chi Minh City, 2017",2r3rk/1b1n1p1p/pp1p1P1Q/3qp1P1/P7/3PBR2/1P4PP/5RK1 w - - 1 0,Qxh7+ Kxh7 Rh3+ Kg6 Rh6#
